4c1000: GL-equivalent to harness Hanner mask 80002000a via T=[5/7,2/7,1/7,-3/7; 3/7,4/7,-5/7,1/7; 5/7,2/7,1/7,4/7; -1/7,-6/7,-3/7,2/7]
600600: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1/7,2/7,-4/7,-2/7; 3/7,6/7,2/7,1/7; -1/7,-2/7,4/7,-5/7]
11001010: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1/2,-1/2; 0,1,0,0; 0,0,1/2,1/2]
14011: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 4,3,1,1; -2,-1,-1,-1]
14018: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1,-1; 5/2,2,1/2,1/2; -1/2,0,-1/2,-1/2]
14021: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 3,2,1,1; -1,0,-1,-1]
14028: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,1,-1; 2,3/2,1/2,1/2; 0,1/2,-1/2,-1/2]
14030: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 1,1,0,0; 5,3,2,2]
14041: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 2,1,1,1; 0,1,-1,-1]
14044: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2,0,-2; 2,1,1,1; 0,1,-1,-1]
14060: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 1,1,0,0; 3,1,2,2]
140c0: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 5,2,4,2; 1,1,0,0; -3,-1,-2,-2]
14108: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1,-1; 3/2,1,1/2,1/2; 1/2,1,-1/2,-1/2]
14110: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1,-1; 1,1,0,0; 2,1,1,1]
14204: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2,0,-2; 1,0,1,1; 1,2,-1,-1]
14208: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,1,-1; 1,1/2,1/2,1/2; 1,3/2,-1/2,-1/2]
14220: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,1,-1; 1,1,0,0; 1,0,1,1]
14240: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2,0,-2; 1,1,0,0; 1,-1,2,2]
1480100: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,0,-1/2,0; 1/2,0,1/2,1; 1,1,1,0; 0,-1,0,0]
15001: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-2,2,0; 0,-1,1,1; 2,3,-1,-1]
1500100: GL-equivalent to harness Hanner mask 80002000a via T=[1/2,0,-1/2,0; 0,0,0,1; 1,1,1,0; 0,-1,0,0]
15008: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1,-1; 1/2,0,1/2,1/2; 3/2,2,-1/2,-1/2]
15010: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1,-1; 1,1,0,0; 1/2,0,1/2,1/2]
15040: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2,0,-2; 1,1,0,0; 0,-1,1,1]
15100: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,1,-1; 1,1,0,0; 0,-1,1,1]
15200: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2,0,-2; 1,1,0,0; -1,-3,2,2]
16010: GL-equivalent to harness Hanner mask 80002000a via T=[4,2,1,1; 0,0,1,-1; -2,-1,-1,-1; -4,-3,-1,-1]
16040: GL-equivalent to harness Hanner mask 80002000a via T=[2,0,1,1; 2,2,1,-1; 0,1,-1,-1; -2,-1,-1,-1]
17000: GL-equivalent to harness Hanner mask 80002000a via T=[0,-2,1,1; 0,0,1,-1; 2,3,-1,-1; 0,1,-1,-1]
18011: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 5,4,2,1; -3,-2,-2,-1]
18012: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -5,-4,-2,-2; 5,4,2,1; -3,-2,-2,-1]
18014: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-1,0,-1; 3,5/2,1,1/2; -1,-1/2,-1,-1/2]
18021: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 4,3,2,1; -2,-1,-2,-1]
18024: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,-1; 5/2,2,1,1/2; -1/2,0,-1,-1/2]
18041: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 3,2,2,1; -1,0,-2,-1]
18042: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-2,-2; 3,2,2,1; -1,0,-2,-1]
18044: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,-1; 2,3/2,1,1/2; 0,1/2,-1,-1/2]
18050: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 1,1,0,0; 3,2,2,1]
18060: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 3,2,2,0; 1,1,0,0; 5,3,4,2]
18082: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -3,-2,-2,-2; 3,2,2,1; -1,0,-2,-1]
18084: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-1,0,-1; 2,3/2,1,1/2; 0,1/2,-1,-1/2]
18090: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,-1,0,-1; 1,1,0,0; 3,2,2,1]
180a0: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -3,-2,-2,-2; 1,1,0,0; 5,3,4,2]
18102: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; -1,0,-2,-2; 2,1,2,1; 0,1,-2,-1]
18104: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,-1; 3/2,1,1,1/2; 1/2,1,-1,-1/2]
18120: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 0,0,0,-1; 1,1,0,0; 2,1,2,1]
18202: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,2,-2,-2; 1,0,2,1; 1,2,-2,-1]
18204: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1,0,-1; 1,1/2,1,1/2; 1,3/2,-1,-1/2]
18210: GL-equivalent to harness Hanner mask 80002000a via T=[1,0,0,0; 1,1/2,1,-1/2; 1,1,0,0; 1,1/2,1,1/2]
